nodeName	altName	nodeAttr[nodesPresent, ]
gbr.31.93	ras-GEF domain-containing family member 1B-like	turquoise
gbr.3.68	STE20-like serine/threonine-protein kinase isoform X1	turquoise
gbr.317.2	syntaxin-5-like	turquoise
gbr.211.21	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	turquoise
gbr.188.38	multiple C2 and transmembrane domain-containing protein 1-like isoform X5	turquoise
gbr.252.28_gbr.252.27	adenylate cyclase type 9-like	turquoise
gbr.72.30	N-acetylgalactosaminyltransferase 7-like	turquoise
gbr.44.54	tetratricopeptide repeat protein 22	turquoise
gbr.67.14	sestrin-1-like isoform X1	turquoise
gbr.288.4	WASH complex subunit 2-like isoform X6	turquoise
gbr.116.36	protein phosphatase 1E	turquoise
gbr.3.102	C-terminal-binding protein 1 isoform X1	turquoise
gbr.7.18	rab-like protein 6 isoform X1	turquoise
gbr.159.18	extended synaptotagmin-2-like isoform X1	turquoise
gbr.465.17	Hypothetical predicted protein	turquoise
gbr.405.14	basic salivary proline-rich protein 3-like	turquoise
gbr.202.33	uncharacterized protein LOC117293524, partial	turquoise
gbr.480.11	---NA---	turquoise
gbr.354.1	uncharacterized protein LOC110990645	turquoise
gbr.202.28	uncharacterized protein LOC110981386 isoform X2	turquoise
gbr.202.25	mucin-5AC isoform X1	turquoise
gbr.225.23	mucin-5AC-like	turquoise
gbr.202.26	mucin-4-like isoform X1	turquoise
gbr.476.10	heme-binding protein 2-like	turquoise
gbr.39.47	ras-like GTP-binding protein RHO	turquoise
gbr.696.3	basic salivary proline-rich protein 3-like	turquoise
gbr.478.2	LON peptidase N-terminal domain and RING finger protein 3-like	turquoise
gbr.133.38	reticulon-1-A-like isoform X1	turquoise
gbr.361.1	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	turquoise
gbr.44.103	egg permeability glycoprotein	turquoise
gbr.15.48	monocarboxylate transporter 9	turquoise
gbr.830.1	NLR family CARD domain-containing protein 4-like isoform X1	turquoise
gbr.631.3	plexin-B-like isoform X2	turquoise
gbr.35.3	receptor-type tyrosine-protein phosphatase alpha-like	turquoise
gbr.102.38	partitioning defective 6 homolog beta-like	turquoise
gbr.12.26	protein crumbs homolog 1-like isoform X1	turquoise
gbr.2.184	cadherin-23 isoform X3	turquoise
gbr.27.49	myeloid differentiation primary response protein MyD88-like isoform X1	turquoise
gbr.19.31	nuclear receptor subfamily 1 group D member 2-like isoform X3	turquoise
gbr.47.7	neurogenic locus Notch protein-like	turquoise
gbr.434.2	immediate early response 3-interacting protein 1	turquoise
gbr.51.15	disintegrin and metalloproteinase domain-containing protein 10	turquoise
gbr.216.29	NLR family CARD domain-containing protein 4-like isoform X1	turquoise
gbr.696.5	---NA---	turquoise
gbr.3.185	protein Skeletor, isoforms B/C-like	turquoise
gbr.13.78	neurogenic locus notch homolog protein 1 isoform X1	turquoise
gbr.480.7	methyltransferase-like protein 27	turquoise
gbr.77.11	protocadherin Fat 4-like	turquoise
gbr.246.10	epidermal growth factor receptor kinase substrate 8-like protein 2 isoform X1	turquoise
gbr.62.12	protocadherin-like wing polarity protein stan	turquoise
gbr.326.1	uncharacterized protein LOC110979964 isoform X1	turquoise
gbr.1.151	receptor-type tyrosine-protein phosphatase T-like	turquoise
gbr.242.23	serine/arginine repetitive matrix protein 1-like	turquoise
gbr.606.2	Polyubiqutin 1	turquoise
gbr.98.42	membrane-spanning 4-domains subfamily A member 4A-like	turquoise
gbr.564.11	far upstream element-binding protein 1 isoform X4	turquoise
gbr.232.17	uncharacterized protein LOC110982460	turquoise
gbr.123.14	nuclear receptor subfamily 1 group D member 1-like	turquoise
gbr.41.15	protein crumbs-like isoform X1	turquoise
gbr.567.17	von Willebrand factor-like	turquoise
gbr.35.2	angiopoietin-1 receptor-like isoform X1	turquoise
gbr.2693.1	E3 ubiquitin-protein ligase MIB2-like	turquoise
gbr.5.112	anion exchange protein 2-like isoform X2	turquoise
gbr.37.64	proline-rich transmembrane protein 1-like	turquoise
gbr.275.3	high mobility group nucleosome-binding domain-containing protein 5-like isoform X1	turquoise
gbr.405.4	sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)-like	turquoise
gbr.56.40	Zinc finger CCCH domain-containing protein 10	turquoise
gbr.53.21	fibropellin-1-like isoform X4	turquoise
gbr.188.4	glutamate receptor 1-like	turquoise
gbr.34.66	RNA-binding motif, single-stranded-interacting protein 1-like isoform X2	turquoise
gbr.75.76	histone acetyltransferase KAT6B isoform X1	turquoise
gbr.328.4	baculoviral IAP repeat-containing protein 3-like	turquoise
gbr.142.4	putative TBC1 domain family member 2A	turquoise
gbr.29.32	death-associated protein kinase 2-like	turquoise
gbr.475.4	inositol-trisphosphate 3-kinase B-like isoform X1	turquoise
gbr.58.4	msx2-interacting protein-like	turquoise
gbr.187.29	E3 ubiquitin-protein ligase NEDD4-like isoform X2	turquoise
gbr.55.39	(Lyso)-N-acylphosphatidylethanolamine lipase	turquoise
gbr.375.4	X-box-binding protein 1	turquoise
gbr.309.23	phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1-like	turquoise
gbr.204.35	interferon alpha-inducible protein 6 isoform X1	turquoise
gbr.315.27	U5 small nuclear ribonucleoprotein 200 kDa helicase	turquoise
gbr.256.28	cytoplasmic dynein 2 heavy chain 1-like isoform X2	turquoise
gbr.35.20	NACHT, LRR and PYD domains-containing protein 3-like	turquoise
gbr.221.35	uncharacterized protein LOC110981642	turquoise
gbr.139.75	hyalin isoform X2	turquoise
gbr.149.29	zinc transporter ZIP10-like	turquoise
gbr.234.9	calcineurin subunit B type 1	turquoise
gbr.296.24	probable ATP-dependent RNA helicase DHX58	turquoise
gbr.73.4	acidic leucine-rich nuclear phosphoprotein 32 family member A	turquoise
gbr.20.50	neural cell adhesion molecule 1-like isoform X9	turquoise
gbr.53.82	E3 ubiquitin-protein ligase TRIM71-like	turquoise
gbr.36.65_gbr.36.66	interleukin-17 receptor A-like	turquoise
gbr.58.50	calsyntenin-1-like isoform X2	turquoise
gbr.1.255	Mitogen-activated protein kinase kinase kinase 1	turquoise
gbr.488.1	---NA---	turquoise
gbr.131.23	protein TANC1-like isoform X1	turquoise
gbr.104.58	predicted protein	turquoise
gbr.519.12	proprotein convertase subtilisin/kexin type 5 isoform X1	turquoise
gbr.154.31	uncharacterized protein LOC110979825 isoform X1	turquoise
gbr.142.60	WD repeat-containing protein 47	turquoise
gbr.448.11	max-binding protein MNT	turquoise
gbr.180.21	transient receptor potential cation channel subfamily A member 1 homolog isoform X3	turquoise
gbr.1.103	mesoderm induction early response protein 1-like isoform X1	turquoise
gbr.20.51	neural cell adhesion molecule 1-like isoform X3	turquoise
gbr.256.9	hepatic leukemia factor	turquoise
gbr.10.3	low-density lipoprotein receptor-related protein 12-like	turquoise
gbr.285.27	Werner syndrome ATP-dependent helicase isoform X1	turquoise
gbr.126.18	zinc/cadmium resistance protein isoform X1	turquoise
gbr.40.177	sacsin-like	turquoise
gbr.125.6	NEDD4-binding protein 1-like	turquoise
gbr.142.27	modulator of smoothened protein	turquoise
gbr.70.5	breast cancer type 1 susceptibility protein homolog	turquoise
gbr.237.12	neuronal acetylcholine receptor subunit alpha-10-like	turquoise
gbr.16.64	CD151 antigen-like	turquoise
gbr.76.104	phosphoenolpyruvate carboxykinase, cytosolic [GTP]-like	turquoise
gbr.81.70	F-box-like/WD repeat-containing protein TBL1XR1	turquoise
gbr.274.15	NLR family CARD domain-containing protein 4-like isoform X1	turquoise
gbr.117.19	circularly permutated Ras protein 1-like isoform X5	turquoise
gbr.8.11	tyrosine kinase receptor Cad96Ca	turquoise
gbr.169.19	uncharacterized protein LOC110982623 isoform X7	turquoise
gbr.8.23	dihydropyrimidinase-like isoform X1	turquoise
gbr.776.1	transient receptor potential cation channel subfamily M member-like 2 isoform X2	turquoise
gbr.54.47	protein Shroom3 isoform X5	turquoise
gbr.90.98	nucleoplasmin-like protein ANO39	turquoise
gbr.388.15	kin of IRRE-like protein 1	turquoise
gbr.75.49	Peptidyl-prolyl cis-trans isomerase	turquoise
gbr.153.23	death ligand signal enhancer-like	turquoise
gbr.111.11	baculoviral IAP repeat-containing protein 1f-like isoform X2	turquoise
gbr.345.5	spectrin beta chain, non-erythrocytic 5-like	turquoise
gbr.256.15	rho GTPase-activating protein 6-like isoform X1	turquoise
gbr.154.30	uncharacterized protein LOC110979825 isoform X1	turquoise
gbr.44.72	nucleolar and coiled-body phosphoprotein 1-like	turquoise
gbr.123.7	NEDD8 ultimate buster 1-like	turquoise
gbr.430.11	uncharacterized protein LOC110987908	turquoise
gbr.1.62	afadin- and alpha-actinin-binding protein A-like	turquoise
gbr.198.7	L-threonine ammonia-lyase-like	turquoise
gbr.23.66	hsc70-interacting protein	turquoise
gbr.399.18	TAR DNA-binding protein 43-like	turquoise
gbr.151.8	---NA---	turquoise
gbr.56.26	transmembrane protein 198-like	turquoise
gbr.319.8	---NA---	turquoise
gbr.266.2	SH2 domain-containing protein 3C-like isoform X2	turquoise
gbr.250.12	circularly permutated Ras protein 1-like	turquoise
gbr.479.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	turquoise
gbr.202.4	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein-like isoform X1	turquoise
gbr.320.10	---NA---	turquoise
gbr.46.67	arachidonate 5-lipoxygenase-like	turquoise
gbr.4.84	neuron navigator 2-like isoform X1	turquoise
gbr.1.157	selenoprotein Pb-like	turquoise
gbr.261.14	neuronal PAS domain-containing protein 3-like isoform X2	turquoise
gbr.564.5	basic salivary proline-rich protein 3-like	turquoise
gbr.132.29	cAMP-specific 3',5'-cyclic phosphodiesterase 4C-like isoform X4	turquoise
gbr.151.79	tripartite motif-containing protein 2-like	turquoise
gbr.478.5	sorting nexin-25-like	turquoise
gbr.24.36	somatostatin precursor	turquoise
gbr.590.1	lon protease homolog 2, peroxisomal-like	turquoise
gbr.174.38	cytosolic 10-formyltetrahydrofolate dehydrogenase-like	turquoise
gbr.110.6	protein kintoun-like	turquoise
gbr.41.83	neuronal calcium sensor 1-like	turquoise
gbr.188.16	la-related protein 6-like	turquoise
gbr.70.2	rho-related GTP-binding protein RhoN-like	turquoise
gbr.149.50	heat shock cognate 71 kDa protein	turquoise
gbr.3.128	NACHT, LRR and PYD domains-containing protein 3-like isoform X1	turquoise
gbr.264.2	coiled-coil domain-containing protein 92	turquoise
gbr.142.42	late histone H1-like	turquoise
gbr.231.27	glutamic acid-rich protein-like	turquoise
gbr.204.42	lysosome-associated membrane glycoprotein 1	turquoise
gbr.3.69	serine/threonine-protein kinase 10-like isoform X1	turquoise
gbr.17.35	centrosomal protein of 290 kDa-like isoform X6	turquoise
gbr.60.68	large neutral amino acids transporter small subunit 4-like	turquoise
gbr.282.19	acetyl-CoA carboxylase 1 isoform X3	turquoise
gbr.441.3	retinoblastoma-like protein 1	turquoise
gbr.17.79	docking protein 2-like	turquoise
gbr.356.3	T-complex protein 1 subunit alpha-like	turquoise
gbr.2.71	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like isoform X2	turquoise
gbr.191.45	uncharacterized protein LOC110990454	turquoise
gbr.40.138	inverted formin-2-like isoform X1	turquoise
gbr.777.2	---NA---	turquoise
gbr.31.60	sphingosine-1-phosphate lyase 1	turquoise
gbr.75.86	paladin-like isoform X2	turquoise
gbr.144.15	E3 ubiquitin-protein ligase TRIM71-like	turquoise
gbr.482.16	lysine-specific demethylase 4A-like	turquoise
gbr.434.9	sodium/potassium/calcium exchanger 2-like	turquoise
gbr.567.9	mucin-2-like	turquoise
gbr.81.112	transmembrane protein 164	turquoise
gbr.72.62	putative pleckstrin-likey domain-containing family G member 3	turquoise
gbr.186.11	FERM domain-containing protein 5-like isoform X2	turquoise
gbr.71.22	equilibrative nucleoside transporter 3-like isoform X1	turquoise
gbr.67.22	PC3-like endoprotease variant B	turquoise
gbr.330.9	vitamin D3 receptor B-like isoform X3	turquoise
gbr.72.96	actin-related protein 2	turquoise
gbr.12.46	protein stum homolog	turquoise
gbr.47.29	regulator of nonsense transcripts 3B	turquoise
gbr.304.6	histone-lysine N-methyltransferase 2C-like isoform X1	turquoise
gbr.143.39	major facilitator superfamily domain-containing protein 6-like	turquoise
gbr.57.31	uncharacterized protein LOC110991052	turquoise
gbr.168.28	protein max isoform X2	turquoise
gbr.74.1	histone-lysine N-methyltransferase SETD2	turquoise
gbr.2.10	nucleolar and coiled-body phosphoprotein 1-like	turquoise
gbr.41.77	RNA-binding protein 20	turquoise
gbr.2.126	vinexin-like isoform X9	turquoise
gbr.290.6	A disintegrin and metalloproteinase with thrombospondin motifs 20	turquoise
gbr.90.91	cholinephosphotransferase 1	turquoise
gbr.6.208	fascin-like	turquoise
gbr.6.90	protein HID1-like isoform X1	turquoise
gbr.16.66	protein kinase C and casein kinase substrate in neurons protein 1-like isoform X1	turquoise
gbr.72.137	RAC-beta serine/threonine-protein kinase	turquoise
gbr.289.18	Sterile alpha motif domain-containing protein 9-like	turquoise
gbr.109.26	vacuolar protein sorting-associated protein 13A-like	turquoise
gbr.242.29	tribbles homolog 2	turquoise
gbr.58.137	coiled-coil domain-containing protein 50-like isoform X1	turquoise
gbr.182.25	---NA---	turquoise
gbr.3.137	protein FAM53A	turquoise
gbr.24.73	vesicle-associated membrane protein 2-like	turquoise
gbr.163.7	pre-mRNA-processing factor 39-like isoform X1	turquoise
gbr.631.1	plexin-B-like isoform X2	turquoise
gbr.121.10	serine/threonine-protein kinase Nek7-like	turquoise
gbr.76.88	serine-rich adhesin for platelets	turquoise
gbr.410.5	Protein kish-A	turquoise
gbr.56.129	integral membrane protein GPR155-like isoform X2	turquoise
gbr.48.98	tRNA (guanine(37)-N1)-methyltransferase-like	turquoise
gbr.72.138	RAC serine/threonine-protein kinase	turquoise
gbr.225.46	macrophage mannose receptor 1-like	turquoise
gbr.289.29	uncharacterized protein LOC110986935	turquoise
gbr.122.8_gbr.122.9	nucleobindin-2-like isoform X1	turquoise
gbr.82.37	sorcin-like isoform X1	turquoise
gbr.97.38	cip1-interacting zinc finger protein	turquoise
gbr.50.39	REST corepressor 3-like isoform X2	turquoise
gbr.317.6	Serine/threonine-protein kinase PAK mbt	turquoise
gbr.197.35	ubiquitin carboxyl-terminal hydrolase 25 isoform X3	turquoise
gbr.145.19	Ultraviolet-B receptor UVR8	turquoise
gbr.512.19	probable phospholipid-transporting ATPase IIB isoform X2	turquoise
gbr.81.73	F-box-like/WD repeat-containing protein TBL1XR1	turquoise
gbr.50.40	transmembrane protein 87A-like	turquoise
gbr.107.35	glypican-5 precursor	turquoise
gbr.513.23	---NA---	turquoise
gbr.146.11	roundabout homolog 1-like isoform X2	turquoise
gbr.72.88	uncharacterized protein LOC110975172 isoform X2	turquoise
gbr.131.29	carnitine O-palmitoyltransferase 1, liver isoform-like	turquoise
gbr.98.63	UPF0454 protein C12orf49 homolog	turquoise
gbr.173.24	leucine dehydrogenase-like isoform X1	turquoise
gbr.271.11	neurogenic locus notch homolog protein 1-like isoform X1	turquoise
gbr.363.4	neurofilament heavy polypeptide-like isoform X1	turquoise
gbr.73.33_gbr.73.34	protogenin B-like	turquoise
gbr.301.22	Structure-specific endonuclease subunit SLX4	turquoise
gbr.6.113	adhesion G-protein coupled receptor G6-like	turquoise
gbr.566.4	major facilitator superfamily domain-containing protein 12-like isoform X1	turquoise
gbr.13.26	transcription factor EC-like isoform X1	turquoise
gbr.44.19	kelch-like protein 20	turquoise
gbr.40.173	sacsin-like	turquoise
gbr.11.125	tyrosine-protein kinase SRK2-like	turquoise
gbr.53.95	squamous cell carcinoma antigen recognized by T-cells 3	turquoise
gbr.512.15	probable phospholipid-transporting ATPase IIB isoform X2	turquoise
gbr.37.109	microtubule cross-linking factor 1-like	turquoise
gbr.5.60	rab-like protein 2A	turquoise
gbr.16.98	serine/threonine-protein kinase BRSK2 isoform X3	turquoise
gbr.270.8	---NA---	turquoise
gbr.515.6	growth factor receptor-bound protein 10 isoform X1	turquoise
gbr.80.9	ceramide synthase 1-like	turquoise
gbr.36.8	G/T mismatch-specific thymine DNA glycosylase-like isoform X2	turquoise
gbr.1.148	serine/threonine-protein kinase PLK1-like	turquoise
gbr.183.23	uncharacterized protein LOC110983960 isoform X3	turquoise
gbr.318.29	rap1 GTPase-activating protein 1-like isoform X5	turquoise
gbr.56.102	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like	turquoise
gbr.441.2	ras-related protein Rab-2A	turquoise
gbr.30.39	TRAF3-interacting protein 1-like isoform X1	turquoise
gbr.26.11	tubulin-specific chaperone D-like	turquoise
gbr.32.4	rhophilin-1 isoform X1	turquoise
gbr.375.16	merlin isoform X2	turquoise
gbr.90.109	predicted protein	turquoise
gbr.489.4	histone-lysine N-methyltransferase 2A-like isoform X2	turquoise
gbr.98.5	crk-like protein	turquoise
gbr.133.37	reticulon-1-A-like isoform X3	turquoise
gbr.47.30	transmembrane and coiled-coil domain-containing protein 3 isoform X1	turquoise
gbr.119.20	endoplasmic reticulum metallopeptidase 1	turquoise
gbr.395.12	GATOR complex protein MIOS	turquoise
gbr.5.77	protein henna-like isoform X2	turquoise
gbr.244.6	centrosomal protein of 164 kDa-like	turquoise
gbr.23.72	protocadherin Fat 1-like isoform X3	turquoise
gbr.131.24	protein TANC1-like isoform X1	turquoise
gbr.283.45	zinc finger MYM-type protein 4-like isoform X4	turquoise
gbr.319.9	putative TBC1 domain family member 2A	turquoise
gbr.10.2	Golgi apparatus protein 1	turquoise
gbr.469.11	serine palmitoyltransferase 2 isoform X2	turquoise
gbr.183.30	protein numb-like isoform X1	turquoise
gbr.226.20	myocardin-related transcription factor A-like isoform X1	turquoise
gbr.33.39	early endosome antigen 1-like	turquoise
gbr.126.20	kelch-like protein 24	turquoise
gbr.16.123	choline kinase alpha-like isoform X2	turquoise
gbr.202.48	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	turquoise
gbr.560.3	rho guanine nucleotide exchange factor 11-like isoform X9	turquoise
gbr.160.37	dynein assembly factor 3, axonemal	turquoise
gbr.58.116	type-1 angiotensin II receptor-associated protein-like	turquoise
gbr.44.69	uncharacterized protein LOC110982588	turquoise
gbr.184.11	coiled-coil domain-containing protein 160 homolog	turquoise
gbr.3.134	ATP synthase subunit e, mitochondrial	turquoise
gbr.397.2	transketolase-like protein 2 isoform X2	turquoise
gbr.139.37	biogenesis of lysosome-related organelles complex 1 subunit 5	turquoise
gbr.87.36	probable thiopurine S-methyltransferase	turquoise
gbr.183.32	adenylosuccinate synthetase isozyme 1	turquoise
gbr.173.3_gbr.173.4	NUAK family SNF1-like kinase 1	turquoise
gbr.29.59	histone-lysine N-methyltransferase ASH1L-like isoform X2	turquoise
gbr.25.79	serine-protein kinase ATM-like isoform X1	turquoise
gbr.23.3	nuclear pore complex protein Nup98-Nup96 isoform X1	turquoise
gbr.254.2	Golgi phosphoprotein 3-like	turquoise
gbr.560.4	rho guanine nucleotide exchange factor 11-like isoform X9	turquoise
gbr.110.9	nuclear RNA export factor 1	turquoise
gbr.35.50	zinc finger protein GLIS3	turquoise
gbr.66.54	genetic suppressor element 1-like isoform X2	turquoise
gbr.35.95	transportin-1 isoform X1	turquoise
gbr.6.132	transmembrane protein 130	turquoise
gbr.194.38	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	turquoise
gbr.310.1	chromodomain Y-like protein	turquoise
gbr.242.3	solute carrier family 25 member 51-like	turquoise
gbr.390.6	serine/threonine-protein phosphatase 4 regulatory subunit 3A-like isoform X2	turquoise
gbr.319.16	uncharacterized protein LOC110986762	turquoise
gbr.58.40	probable cation-transporting ATPase 13A3 isoform X2	turquoise
gbr.67.16	unconventional myosin-VI isoform X1	turquoise
gbr.37.76	splicing regulatory glutamine/lysine-rich protein 1 isoform X1	turquoise
gbr.98.62	E3 ubiquitin-protein ligase TRIM33-like	turquoise
gbr.408.3_gbr.408.4	menin-like	turquoise
gbr.208.13	A-kinase anchor protein 1, mitochondrial-like	turquoise
gbr.97.32_gbr.97.34	roquin-2 isoform X1	turquoise
gbr.18.80	MRG/MORF4L-binding protein-like	turquoise
gbr.530.10	protein piccolo-like	turquoise
gbr.9.36	interleukin-1 receptor-associated kinase 4-like	turquoise
gbr.347.28	centrosomal protein of 41 kDa-like	turquoise
gbr.482.3	oxysterol-binding protein 1-like isoform X2	turquoise
gbr.595.5	---NA---	turquoise
gbr.140.38	cytosolic purine 5'-nucleotidase isoform X2	turquoise
gbr.59.59	uncharacterized protein LOC110975200	turquoise
gbr.26.16	BTB/POZ domain-containing protein KCTD2	turquoise
gbr.149.12	protein FAM189A1-like	turquoise
gbr.12.110	F-box only protein 48	turquoise
gbr.74.35	probable Bax inhibitor 1	turquoise
gbr.37.84	tetraspanin-17	turquoise
gbr.113.7	dyslexia-associated protein KIAA0319-like protein isoform X6	turquoise
gbr.75.83	methylthioribose kinase-like	turquoise
gbr.16.116	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	turquoise
gbr.26.83	WD repeat-containing protein 13	turquoise
gbr.29.33	Death-associated protein kinase 3	turquoise
gbr.77.25	trithorax group protein osa-like isoform X1	turquoise
gbr.83.37	heterogeneous nuclear ribonucleoprotein K-like isoform X1	turquoise
gbr.286.15	nuclear receptor coactivator 2-like isoform X1	turquoise
gbr.37.77	zinc finger MIZ domain-containing protein 1-like isoform X1	turquoise
gbr.70.4	rho-related GTP-binding protein RhoE	turquoise
gbr.12.57	sphingolipid delta(4)-desaturase DES1	turquoise
gbr.261.8	A-kinase anchor protein 6 isoform X1	turquoise
gbr.81.210	probable helicase with zinc finger domain isoform X2	turquoise
gbr.42.23_gbr.42.27	CUE domain-containing protein 2 isoform X1	turquoise
gbr.213.23	F-box only protein 46-like	turquoise
gbr.62.40	coiled-coil domain-containing protein 66-like	turquoise
gbr.114.9	growth arrest-specific protein 2	turquoise
gbr.4.95	peroxisome proliferator-activated receptor gamma isoform X2	turquoise
gbr.2.97	bone morphogenetic protein receptor type-1B	turquoise
gbr.100.52	heterogeneous nuclear ribonucleoprotein A1-like	turquoise
gbr.65.18	E3 ubiquitin-protein ligase synoviolin isoform X1	turquoise
gbr.110.13	N-acylneuraminate-9-phosphatase-like	turquoise
gbr.49.36	sarcolemmal membrane-associated protein-like isoform X2	turquoise
gbr.562.7	oral-facial-digital syndrome 1 protein homolog	turquoise
gbr.80.34	V-type proton ATPase 116 kDa subunit a-like isoform X1	turquoise
gbr.613.3	histone H1	turquoise
gbr.7.106	very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	turquoise
gbr.8.100	helicase with zinc finger domain 2-like isoform X1	turquoise
gbr.42.50_gbr.42.51	sialidase-4-like isoform X1	turquoise
gbr.1.39	transcription activator BRG1 isoform X1	turquoise
gbr.28.67	Survival motor neuron protein	turquoise
gbr.410.2	ADP-ribosylation factor 6	turquoise
gbr.73.5	coronin-2B-like isoform X2	turquoise
gbr.42.5_gbr.42.6	probable helicase senataxin isoform X1	turquoise
gbr.331.4	la-related protein 1B	turquoise
gbr.367.14	MLX-interacting protein isoform X1	turquoise
gbr.20.86_gbr.20.87	hormone-sensitive lipase-like	turquoise
gbr.90.99	nucleoplasmin-like protein ANO39 isoform X2	turquoise
gbr.90.101	putative transcription initiation factor TFIID subunit 3	turquoise
gbr.96.41_gbr.96.39	phosphatidylinositol 3-kinase catalytic subunit type 3	turquoise
gbr.242.26	HCLS1-binding protein 3	turquoise
gbr.31.11	heparan-alpha-glucosaminide N-acetyltransferase-like isoform X1	turquoise
gbr.317.7	golgin subfamily A member 6-like protein 1 isoform X1	turquoise
gbr.437.3	von Willebrand factor A domain-containing protein 3A-like	turquoise
gbr.56.61	zinc finger MYND domain-containing protein 11-like	turquoise
gbr.240.11	carbohydrate sulfotransferase 1-like	turquoise
gbr.38.80	helicase-like transcription factor isoform X2	turquoise
gbr.34.85	sterol regulatory element-binding protein cleavage-activating protein	turquoise
gbr.71.14	methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	turquoise
gbr.91.7	receptor-type tyrosine-protein phosphatase delta-like	turquoise
gbr.141.8	uncharacterized protein LOC110983351	turquoise
gbr.16.22	formin-binding protein 4-like	turquoise
gbr.2.98	bone morphogenetic protein receptor type-1B	turquoise
gbr.180.28	vacuolar protein sorting-associated protein 13A-like isoform X1	turquoise
gbr.139.18	protein argonaute-2	turquoise
gbr.220.22	solute carrier family 35 member E1	turquoise
gbr.268.10	DAZ-associated protein 1 isoform X1	turquoise
gbr.110.61	pleckstrin homology domain-containing family H member 1-like isoform X3	turquoise
gbr.81.156	sorting nexin-29	turquoise
gbr.619.1	uncharacterized protein LOC110989048	turquoise
gbr.85.15	ribosome-binding protein 1-like isoform X5	turquoise
gbr.12.21	protein phosphatase 1 regulatory subunit 21-like	turquoise
gbr.229.6	protein SMG7-like isoform X2	turquoise
gbr.147.33	histone-lysine N-methyltransferase EHMT2-like	turquoise
gbr.276.27	cell division cycle-associated protein 3-like isoform X2	turquoise
gbr.34.39	WAS/WASL-interacting protein family member 1	turquoise
gbr.8.90	centrosomal protein of 290 kDa-like	turquoise
gbr.498.4_gbr.498.5	meiosis regulator and mRNA stability factor 1-like	turquoise
gbr.136.28	palmitoyltransferase ZDHHC3-like	turquoise
gbr.205.41	uncharacterized protein LOC110975609	turquoise
gbr.24.37	DNA ligase 3-like	turquoise
gbr.482.6	oxysterol-binding protein 1-like isoform X1	turquoise
gbr.406.14_gbr.406.16	mitochondrial import receptor subunit TOM70	turquoise
gbr.268.22	insulin receptor isoform X1	turquoise
gbr.222.19	---NA---	turquoise
gbr.1077.2	cell adhesion molecule 3-like	turquoise
gbr.23.64	hsc70-interacting protein isoform X2	turquoise
gbr.262.4	tyrosine-protein kinase BAZ1B-like	turquoise
gbr.11.174	beta-1,4-galactosyltransferase 5-like	turquoise
gbr.55.7	beta-1,4-galactosyltransferase 6-like	turquoise
gbr.133.25	ATP-dependent RNA helicase TDRD9-like	turquoise
gbr.18.76	probable 3',5'-cyclic phosphodiesterase pde-5 isoform X3	turquoise
gbr.335.8	TM2 domain-containing protein DDB_G0277895-like	turquoise
gbr.129.22	PWWP domain-containing protein MUM1-like	turquoise
gbr.386.1	follistatin-related protein 5-like isoform X1	turquoise
gbr.73.1	cold shock domain-containing protein E1-like	turquoise
gbr.95.2	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	turquoise
gbr.13.46	RNA binding protein fox-1 homolog 3-like isoform X3	turquoise
gbr.23.42	jupiter microtubule associated homolog 1-like isoform X1	turquoise
gbr.232.22	caspase-2-like isoform X3	turquoise
gbr.58.223	calmodulin-binding transcription activator 1 isoform X2	turquoise
gbr.56.117	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like	turquoise
gbr.469.10	Hypothetical predicted protein	turquoise
gbr.718.2	membrane-spanning 4-domains subfamily A member 8-like	turquoise
gbr.225.57	ectopic P granules protein 5 homolog isoform X2	turquoise
gbr.39.51	zinc finger protein 280C isoform X1	turquoise
gbr.5.5	epidermal growth factor receptor-like isoform X1	turquoise
gbr.308.16	selenocysteine lyase	turquoise
gbr.473.12	WW domain-containing oxidoreductase-like	turquoise
gbr.200.18	golgin subfamily A member 3-like	turquoise
gbr.265.4	muscarinic acetylcholine receptor M2-like	turquoise
gbr.40.148	PDZ domain-containing protein 8	turquoise
gbr.233.4	sterile alpha and TIR motif-containing protein 1-like isoform X1	turquoise
gbr.44.78	sterol O-acyltransferase 1-like	turquoise
gbr.167.9	alpha/beta hydrolase domain-containing protein 17C	turquoise
gbr.19.38	switch-associated protein 70	turquoise
gbr.82.15	rho GTPase-activating protein 15-like isoform X1	turquoise
